" 表 6-15 勞工保險職業災害保險給付千人率 ","","","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance","","","","","","","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續1) ","","","","","","","","","   Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.1)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續2) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.2)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續3) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.3)","","","","","","",""," 表 6-15 勞工保險職業災害保險給付千人率(續4完) ","","","","","","","","","  Table 6-15 Occupational Injury Incidence Rate under Labor Insurance(Cont.4)","","","","","","","",
" ","","","","","","","  單位：千人率","","","","","","","","","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00"," ","","","","","","","  單位：千人率","","","","","","","",""," Unit：0/00",
" 101年  2012 ","4.02","   (3.999)  ˉ","3.705","   (3.688)","0.283","   (0.282)  ˉ","0.032","   (0.029) ˉ","1.431","","1.206","0.145","0.079","","9.273","7.979","0.863","","0.431","4.927","4.419","","0.476","0.032"," 101年  2012 ","1.544","1.219","0.244","0.081","6.645","6.185","0.389","0.071","13.363","12.564","0.668","0.131","3.306","3.082","0.206","0.018"," 101年  2012 ","4.505","4.19","0.261","0.054","4.228","4.131","0.09","0.007","0.542","0.499","0.03","0.013","0.278","0.27","0.008","0"," 101年  2012 ","1.408","1.352","0.04","0.016","1.374","1.299","0.076","0",,,,,,,,," 101年  2012 ","0.605","0.562","0.043","0","0.806","0.791","0.015","0",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.559","2.444","0.092","0.022","0.882","0.706","0.154","0.022",,,,,,,,,,"2.385","2.342","0.032","0.011","2.523","2.375","0.136","0.012",
" 102年  2013 ","3.721","   (3.703)  ˉ","3.434","   (3.420)","0.258","   (0.256)  ˉ","0.03","   (0.026) ˉ","1.333","","1.104","0.139","0.09","","9.068","8.312","0.756","","0","4.409","3.946","","0.435","0.028"," 102年  2013 ","1.134","0.85","0.243","0.04","5.981","5.62","0.325","0.036","12.573","11.884","0.569","0.12","2.993","2.8","0.182","0.011"," 102年  2013 ","4.46","4.162","0.245","0.053","4.152","4.031","0.114","0.007","0.49","0.448","0.038","0.004","0.228","0.217","0.008","0.003"," 102年  2013 ","1.095","1.012","0.075","0.008","1.343","1.277","0.057","0.009",,,,,,,,," 102年  2013 ","0.515","0.473","0.035","0.008","0.746","0.725","0.015","0.005",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.5","2.388","0.082","0.03","0.769","0.658","0.089","0.022",,,,,,,,,,"2.389","2.285","0.083","0.021","2.372","2.215","0.134","0.022",
" 103年  2014 ","3.467","   (3.453)  ˉ","3.211","   (3.200)","0.229","   (0.228)  ˉ","0.027","   (0.025) ˉ","1.31","","1.124","0.137","0.049","","6.129","4.597","0.766","","0.766","3.885","3.494","","0.368","0.023"," 103年  2014 ","1.386","1.019","0.326","0.041","5.661","5.118","0.487","0.056","12.015","11.315","0.565","0.136","2.844","2.666","0.167","0.012"," 103年  2014 ","4.726","4.437","0.23","0.058","4.175","4.077","0.093","0.004","0.49","0.441","0.041","0.008","0.215","0.204","0.011","0"," 103年  2014 ","1.333","1.255","0.063","0.014","1.269","1.182","0.07","0.017",,,,,,,,," 103年  2014 ","0.508","0.479","0.022","0.007","0.767","0.745","0.02","0.002",,,,,,,,,
" 104年  2015 ","3.191","   (3.184)  ˉ","2.951","   (2.946)","0.214","   (0.214)  ˉ","0.026","   (0.024) ˉ","1.16","","0.993","0.093","0.074","","6.193","5.419","0.774","","0","3.55","3.168","","0.362","0.02"," 104年  2015 ","1.06","0.897","0.163","0","5.443","4.886","0.442","0.115","11.107","10.522","0.468","0.117","2.605","2.42","0.169","0.016"," 104年  2015 ","4.615","4.362","0.218","0.035","3.934","3.838","0.091","0.006","0.34","0.313","0.019","0.008","0.229","0.223","0.005","0"," 104年  2015 ","1.138","1.062","0.062","0.014","1.03","0.962","0.052","0.016","2.58","2.442","0.098","0.04","0.779","0.638","0.119","0.022"," 104年  2015 ","0.634","0.597","0.03","0.007","0.754","0.735","0.019","0","2.35","2.309","0.03","0.01","2.117","2.027","0.083","0.007",
" 105年  2016 ","2.953","   (2.946)  ˉ","2.748","   (2.743)","0.177","   (0.177)  ˉ","0.027","   (0.026) ˉ","1.088","","0.944","0.08","0.063","","3.72","2.657","0.531","","0.531","3.209","2.873","","0.306","0.03"," 105年  2016 ","0.975","0.813","0.122","0.041","4.717","4.411","0.286","0.02","10.57","10.033","0.442","0.096","2.375","2.23","0.129","0.015"," 105年  2016 ","4.364","4.15","0.156","0.057","3.864","3.793","0.069","0.002","0.434","0.412","0.022","0","0.204","0.201","0.003","0"," 105年  2016 ","1.208","1.152","0.035","0.021","1.163","1.081","0.061","0.021",,,,,,,,," 105年  2016 ","0.463","0.437","0.019","0.006","0.687","0.682","0.002","0.002",,,,,,,,,
" 資料來源： 勞動部勞工保險局、勞動及職業安全衛生研究所。 ","","","","","","","",""," Source：","  Bureau of Labor Insurance, Institute of Labor, Occupational Safety and Health, MOL.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 說　　明： 1.同表6-14 說明1、2、6、7、8。 ","","","","","","","",""," Note：","  1.See note 1,2,6,7,8 of table 6-14.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 2.職業災害千人率＝領取職業災害保險給付人次／年平均勞保投保人數＊1,000。 ","","","","","","","","","","  2.Occupational injury incidence rate = Occupational injuries insurance benefit receipts / Insured workers under labor insurance","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3.表6-14 所列「未詳」部分，無法計算千人率。 ","","","","","","","","","","     program * 1,000.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 4.括弧( )內數字為扣除因政策放寬案件之給付千人率，係依據本部勞工保險局職業災害保險給付及因政策放 ","","","","","","","","","","  3.The "Unknown" part of table 6-14 cannot  caculate occupational injury incidence.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    寬給付案件資料整理而得。 ","","","","","","","","","","  4.Figures in the parenthesis exclude the cases due to loosen policy and Summarized from cases of occupational injuries benefits","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","   -203-","","","","",,,,,,,,,,"","","","   -205-","","","","",
,,,,,,,,,"","     and of benefits due to loosen policy, according to Bureau of Labor.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","","  -196-","","","","","","","","","","","","","   -197-","","","","","","","",""," ","","","   -198-","","","","","","","","","   -199-","","","",""," ","","","   -200-","","","","","","","","","   -201-","","","",""," ","","","   -202-","","","","",""," ","","","   -204-","","","","","",
